chainId,chain_name,shortName
77,POA Network Sokol,spoa
78,PrimusChain mainnet,primuschain
79,Zenith Mainnet,zenith
80,GeneChain,GeneChain
81,Japan Open Chain Mainnet,joc
83,Meter Testnet,MeterTest
84,Linqto Devnet,linqto-devnet
85,GateChain Testnet,gttest
86,GateChain Mainnet,gt
87,Nova Network,nnw
88,Viction,vic
89,Viction Testnet,vict
90,Garizon Stage0,gar-s0
91,Garizon Stage1,gar-s1
92,Garizon Stage2,gar-s2
93,Garizon Stage3,gar-s3
94,SwissDLT,sdlt
95,CamDL Mainnet,camdl
96,Bitkub Chain,bkc
97,BNB Smart Chain Testnet,bnbt
98,Six Protocol,six
99,POA Network Core,poa
101,EtherInc,eti
102,Web3Games Testnet,tw3g
103,WorldLand Mainnet,WLC
104,Kaiba Lightning Chain Testnet,tklc
105,Web3Games Devnet,dw3g
107,Nebula Testnet,ntn
109,Shibarium,shibariumecosystem
110,Proton Testnet,xpr
111,EtherLite Chain,ETL
112,Coinbit Mainnet,coinbit
113,Dehvo,deh
114,Flare Testnet Coston2,c2flr
117,Uptick Mainnet,auptick
118,Arcology Testnet,arcology
120,ENULS Testnet,enulst
121,Realchain Mainnet,real
123,Fuse Sparknet,spark
124,Decentralized Web Mainnet,dwu
125,OYchain Testnet,OYchainTestnet
126,OYchain Mainnet,OYchainMainnet
127,Factory 127 Mainnet,feth
129,Innovator Chain,Innovator
131,Engram Testnet,tgram
132,Namefi Chain Mainnet,nfic
133,HashKey Chain Testnet,HSKT
134,iExec Sidechain,rlc
135,Alyx Chain Testnet,AlyxTestnet
136,Deamchain Mainnet,deam
138,Defi Oracle Meta Mainnet,dfio-meta-main
139,WoopChain Mainnet,woop
140,Eternal Mainnet,Eter
141,Openpiece Testnet,OPtest
142,DAX CHAIN,dax
144,PHI Network v2,PHI
145,SoraAI Testnet,SETH
147,Flag Mainnet,FLAG
148,ShimmerEVM,shimmerevm
150,Six Protocol Testnet,sixt
151,Redbelly Network Mainnet,rbn
152,Redbelly Network Devnet,rbn-devnet
153,Redbelly Network Testnet,rbn-testnet
154,Redbelly Network TGE,rbn-tge
155,Tenet Testnet,tenet-testnet
156,OEBlock Testnet,obe
157,Puppynet Shibarium,puppynet
158,Roburna Mainnet,rba
159,Roburna Testnet,rbat
160,Armonia Eva Chain Mainnet,eva
161,Armonia Eva Chain Testnet,wall-e
162,Lightstreams Testnet,tpht
163,Lightstreams Mainnet,pht
164,Omni Omega,omni_omega
166,Omni,omni
167,Atoshi Testnet,atoshi
168,AIOZ Network,aioz
170,HOO Smart Chain Testnet,hoosmartchain
172,Latam-Blockchain Resil Testnet,resil
176,DC Mainnet,dcchain
178,ABEY Testnet,abeyt
179,ABEY Mainnet,abey
180,AME Chain Mainnet,ame
181,Waterfall Network,water
184,Dojima Testnet,dojtestnet
185,Mint Mainnet,mint
186,Seele Mainnet,Seele
187,Dojima,dojima
188,BMC Mainnet,BMC
189,BMC Testnet,BMCT
190,CMDAO BBQ Chain,cmdao-bbq-chain
191,FileFileGo,ffg
193,Crypto Emergency,cem
195,X Layer Testnet,tokb
196,X Layer Mainnet,okb
197,Neutrinos TestNet,NEUTR
198,Bitchain Mainnet,bit
199,BitTorrent Chain Mainnet,BTT
200,Arbitrum on xDai,aox
201,MOAC testnet,moactest
202,Edgeless Testnet,edgeless-testnet
206,VinuChain Testnet,VCTEST
207,VinuChain Network,VC
208,Structx Mainnet,utx
210,Bitnet,BTN
211,Freight Trust Network,EDI
212,MAPO Makalu,makalu
213,B2 Hub Mainnet,B2Hub-mainnet
214,Shinarium Mainnet,shinarium
217,SiriusNet V2,SIN2
220,Scalind Testnet,sepscal
221,BlockEx Mainnet,BlockEx
223,B2 Mainnet,b2
224,Viridis Testnet,VRD-Testnet
225,LACHAIN Mainnet,LA
226,LACHAIN Testnet,TLA
228,Mind Network Mainnet,fhe
230,SwapDEX,SDX
234,ProtoJumbo Testnet,ProtoJumbo
236,Deamchain Testnet,deamtest
238,Blast Mainnet,blast
242,Plinga Mainnet,plgchain
254,Swan Chain Mainnet,Swan
255,Kroma,kroma
256,Huobi ECO Chain Testnet,hecot
258,Setheum,setm
259,Neonlink Mainnet,neon
261,Guru Network Testnet,tguru
